path_no,x(m),y(m)
203,-10.1808530752296,27.7152704433231
204,-10.1800581795067,27.6897989106638
205,-10.1791326936986,27.6639256055758
206,-10.1780743959026,27.6380625913878
207,-10.1769061567526,27.6120918625312
208,-10.1756726990593,27.5860450880271
209,-10.1743827254574,27.560141006209
210,-10.1730454329536,27.5342605333722
211,-10.1716711356331,27.5082834088028
212,-10.1702923849104,27.4822334876583
213,-10.1689199907602,27.4563222544602
214,-10.1675633052069,27.4304251048764
215,-10.1662213809269,27.4044364180475
216,-10.1649090009132,27.3783686993097
217,-10.1636380949252,27.3524456400778
218,-10.1624052610201,27.3265396683955
219,-10.1611867960889,27.3005447757716
220,-10.1599940951322,27.2744700471657
221,-10.1588409974219,27.2485396257371
222,-10.1577326088567,27.2226237717534
223,-10.1566748565409,27.1966126124063
224,-10.1556669897476,27.1705253395252
225,-10.1546969032959,27.1445798238813
226,-10.1537509503782,27.1186633221581
227,-10.1528251299624,27.0926479739161
228,-10.1519484071733,27.0665547489788
229,-10.151109082443,27.0406075283649
230,-10.1503032198171,27.014681776447
231,-10.1495457502743,26.9886574889348
232,-10.1488485000056,26.9625486761465
233,-10.1482252963516,26.9365917308022
234,-10.1476650518895,26.910655946101
1360,-10.1957666564447,-2.00239969148899
1361,-10.1958963536079,-2.02849149683228
1362,-10.1960255181009,-2.054424759733
1363,-10.1961565405864,-2.08036050531142
1364,-10.1962852527131,-2.10638589634015
1365,-10.1964021681886,-2.13247215775202
1366,-10.1965014366061,-2.15840457205979
1367,-10.196603468933,-2.18434191316909
1368,-10.1967356001123,-2.21039168678849
1369,-10.1969796725813,-2.23652059025968
1370,-10.1973129195295,-2.26248104922158
1371,-10.197730384514,-2.28843025841104
1372,-10.1982268973353,-2.31447373285956
1373,-10.1988016773922,-2.34057838840706
1374,-10.1994262970478,-2.3665015622833
1375,-10.2001076018265,-2.39243714882228
1376,-10.2008415986004,-2.4184729617365
1377,-10.2016527642387,-2.44457015321131
1378,-10.2025142614527,-2.47047717216681
1379,-10.2034674481374,-2.49642453413745
1380,-10.2045857909583,-2.52247872492128
1381,-10.2058667801336,-2.54857594250952
1382,-10.2072684132324,-2.57443549170611
1383,-10.2088093851747,-2.60036736403432
1384,-10.2105537296641,-2.62639280525053
1385,-10.2124646095191,-2.65243239204657
1386,-10.2145004642686,-2.67828380035229
1387,-10.2167291425477,-2.70419193658843
1388,-10.2192383868396,-2.73018078686775
1389,-10.2219820449967,-2.75614001872798
1390,-10.2249370368203,-2.78198470474079
1391,-10.2281484632415,-2.80777078297913
1392,-10.2316240855485,-2.83365099536415
1393,-10.2353605267197,-2.85948768728484
1394,-10.2393064039909,-2.88524172399114
1395,-10.2433493815635,-2.91012362368863
1396,-10.247692493357,-2.93535385634974
1397,-10.2522744600929,-2.96034055763152
1398,-10.2571341604082,-2.98535121428834
1399,-10.2620786664801,-3.01013429970521
1400,-10.2671399366081,-3.03465929891497
1401,-10.2724674127016,-3.05928311513649
1402,-10.2780206802863,-3.08373859290869
1403,-10.2836488923802,-3.10774853713916
